case_id,name,year,court,key_finding,description,outcome
215/2020,State vs. PP,2020,Delhi High Court,PP was convicted for obstructing the sale of property by public authority.,PP obstructed the sale of property being carried out under the authority of a public servant.,win
216/2021,State vs. QQ,2021,Karnataka High Court,QQ was convicted for illegally purchasing property sold by public authority.,QQ made an illegal bid to purchase property being sold under the authority of a public servant.,win
217/2020,State vs. RR,2020,Tamil Nadu High Court,RR was convicted for obstructing a public servant in performing their duties.,RR obstructed a public servant while they were discharging their official functions.,win
218/2019,State vs. SS,2019,Andhra Pradesh High Court,SS was convicted for omitting to assist a public servant when required by law.,SS failed to provide assistance to a public servant when they were legally bound to do so.,lose
219/2021,State vs. TT,2021,West Bengal High Court,TT was convicted for disobeying a public servant's order.,TT disobeyed a properly promulgated order from a public servant.,lose
220/2020,State vs. UU,2020,Madhya Pradesh High Court,UU was convicted for threatening a public servant.,UU was convicted for threatening to cause harm to a public servant to prevent them from performing their duties.,win
221/2019,State vs. VV,2019,Karnataka High Court,VV was convicted for threatening to prevent a person from seeking protection from a public servant.,VV threatened to harm a person if they sought protection from a public servant.,win
222/2021,State vs. WW,2021,Rajasthan High Court,WW was convicted for giving false evidence.,WW knowingly gave false evidence in a court proceeding.,lose
223/2020,State vs. XX,2020,Delhi High Court,XX was convicted for fabricating false evidence.,XX fabricated evidence to mislead a judicial proceeding.,lose
224/2021,State vs. YY,2021,Maharashtra High Court,YY was convicted for giving false evidence in a judicial proceeding.,YY was convicted for giving false testimony under oath.,win
225/2020,State vs. ZZ,2020,Chhattisgarh High Court,ZZ was convicted for fabricating false evidence to procure a conviction for a capital offence.,ZZ fabricated evidence with the intent to wrongfully convict someone of a capital crime.,win
226/2019,State vs. AA,2019,Uttar Pradesh High Court,AA was convicted for fabricating false evidence with intent to procure a conviction for life imprisonment.,AA fabricated evidence to wrongly convict someone of a crime punishable by life imprisonment.,lose
227/2020,State vs. BB,2020,Kerala High Court,BB was convicted for threatening a person to give false evidence.,BB threatened to harm someone unless they provided false evidence in a legal proceeding.,win
228/2021,State vs. CC,2021,Delhi High Court,CC was convicted for using known false evidence in court.,CC knowingly presented false evidence in a judicial proceeding.,win
229/2020,State vs. DD,2020,Karnataka High Court,DD was convicted for issuing a false certificate.,DD,win
230/2021,State vs. AA,2021,Delhi High Court,AA was convicted for using a certificate known to be false.,AA knowingly used a certificate as true when they were aware it was false.,lose
231/2020,State vs. BB,2020,Madhya Pradesh High Court,BB was convicted for making a false statement in a legally receivable declaration.,BB made a false statement in a declaration that was to be used as evidence in court.,lose
232/2019,State vs. CC,2019,Kerala High Court,CC was convicted for using a false declaration as true.,CC used a false declaration in a legal proceeding knowing it was false.,win
233/2021,State vs. DD,2021,Chhattisgarh High Court,DD was convicted for causing the disappearance of evidence to screen an offender.,DD intentionally caused evidence to disappear to protect the offender.,win
234/2020,State vs. EE,2020,Rajasthan High Court,EE was convicted for intentionally omitting to inform about an offence.,EE failed to report a crime to the authorities when legally required to do so.,lose
235/2021,State vs. FF,2021,Uttar Pradesh High Court,FF was convicted for giving false information about a crime.,FF provided false details about an offence that had been committed.,lose
236/2020,State vs. GG,2020,Delhi High Court,GG was convicted for destroying documents to prevent them from being used as evidence.,GG intentionally destroyed documents that could have been used in a legal proceeding.,win
237/2021,State vs. HH,2021,Kerala High Court,HH was convicted for impersonating someone for a legal proceeding.,HH fraudulently impersonated another person to gain an advantage in a lawsuit.,win
238/2020,State vs. II,2020,Maharashtra High Court,II was convicted for fraudulent removal of property to prevent its seizure.,II concealed property to prevent its seizure under legal proceedings.,lose
239/2021,State vs. JJ,2021,Chhattisgarh High Court,JJ was convicted for making a fraudulent claim to prevent seizure of property.,JJ made a fraudulent claim regarding ownership of property to avoid its seizure.,win
240/2020,State vs. KK,2020,Karnataka High Court,KK was convicted for fraudulently obtaining a decree for an amount not due.,KK fraudulently obtained a decree for an amount that was not actually due.,win
241/2019,State vs. LL,2019,Andhra Pradesh High Court,LL was convicted for dishonestly making a false claim in court.,LL made a dishonest claim to the court that was false.,win
242/2020,State vs. MM,2020,Delhi High Court,MM was convicted for fraudulently obtaining a decree for an amount not due.,MM fraudulently obtained a court decree for a sum that was not legally due.,lose
243/2021,State vs. NN,2021,Rajasthan High Court,NN was convicted for falsely charging someone with an offence.,NN made a false charge against another person to cause harm.,lose
244/2019,State vs. OO,2019,Chhattisgarh High Court,OO was convicted for harbouring an offender.,OO knowingly harboured a criminal offender to protect them from law enforcement.,win
245/2020,State vs. PP,2020,Madhya Pradesh High Court,PP was convicted for taking a gift to help an offender escape punishment.,PP accepted a bribe in exchange for assisting an offender to avoid punishment.,win
246/2021,State vs. QQ,2021,Kerala High Court,QQ was convicted for offering a gift to help an offender avoid punishment.,QQ offered a gift to influence the outcome of an offender's case and avoid punishment.,lose
247/2019,State vs. RR,2019,Delhi High Court,RR was convicted for taking a gift to help recover stolen property.,RR accepted a gift in exchange for assisting in recovering stolen property.,lose
248/2020,State vs. SS,2020,Maharashtra High Court,SS was convicted for harbouring an offender who had escaped custody.,SS knowingly harboured an offender who had escaped from lawful custody.,win
249/2021,State vs. TT,2021,Chhattisgarh High Court,TT was convicted for harbouring robbers or dacoits.,TT harboured a group of robbers to avoid them being caught by law enforcement.,win
250/2020,State vs. UU,2020,West Bengal High Court,UU was convicted for disobeying lawful directions of a public servant.,UU,lose
251/2021,State vs. VV,2021,Kerala High Court,VV was convicted for framing incorrect records to protect a person from punishment.,VV intentionally made incorrect records to help someone avoid punishment.,win
252/2019,State vs. WW,2019,Delhi High Court,WW was convicted for corruptly making a report in a judicial proceeding.,WW,win
253/2020,State vs. XX,2020,Karnataka High Court,XX was convicted for committing someone to trial knowing it was contrary to law.,XX unlawfully committed someone to trial with knowledge that it was not legal.,win
254/2021,State vs. YY,2021,Rajasthan High Court,YY was convicted for intentionally omitting to apprehend someone.,YY,lose
255/2020,State vs. ZZ,2020,Madhya Pradesh High Court,ZZ was convicted for negligence allowing an offender to escape.,ZZ failed to prevent an offender’s escape from lawful custody due to negligence.,lose
256/2021,State vs. AA,2021,Kerala High Court,AA was convicted for obstructing their lawful apprehension.,AA resisted being apprehended by the authorities.,win
257/2019,State vs. BB,2019,Delhi High Court,BB was convicted for obstructing the lawful apprehension of another.,BB resisted the lawful apprehension of another individual by authorities.,win
258/2020,State vs. CC,2020,West Bengal High Court,CC was convicted for omission to apprehend or sufferance of escape.,CC,lose
301/2021,State vs. AA,2021,Delhi High Court,AA was convicted for fraudulent use of a false instrument for weighing.,AA used a false instrument to deceive customers by misrepresenting the weight of goods.,lose
302/2020,State vs. BB,2020,Maharashtra High Court,BB was convicted for fraudulent use of false weight.,BB used a false weight to deceive customers and cause financial loss.,win
303/2021,State vs. CC,2021,Kerala High Court,CC was convicted for being in possession of false weights.,CC was found in possession of false weights intending to defraud others.,win
304/2020,State vs. DD,2020,Chhattisgarh High Court,DD was convicted for making and selling false weights.,DD was found guilty of making and selling false weights to deceive customers.,lose
305/2021,State vs. EE,2021,Karnataka High Court,EE was convicted for causing public nuisance.,EE was found guilty of actions that disrupted public health and safety.,win
306/2020,State vs. FF,2020,Rajasthan High Court,FF was convicted for negligent acts likely to spread infection.,FF was negligent in handling a contagious disease,win
307/2021,State vs. GG,2021,Delhi High Court,GG was convicted for a malignant act likely to spread infection.,GG deliberately spread a dangerous infection,win
308/2020,State vs. HH,2020,West Bengal High Court,HH was convicted for disobedience to quarantine rules.,HH violated quarantine rules during a pandemic,lose
309/2021,State vs. II,2021,Madhya Pradesh High Court,II was convicted for adulterating food for sale.,II was found guilty of adulterating food products to sell to customers.,lose
310/2020,State vs. JJ,2020,Chhattisgarh High Court,JJ was convicted for selling noxious food.,JJ sold harmful and unsafe food to customers,win
311/2021,State vs. KK,2021,Kerala High Court,KK was convicted for adulterating drugs.,KK adulterated pharmaceutical drugs,win
312/2020,State vs. LL,2020,Karnataka High Court,LL was convicted for selling adulterated drugs.,LL was found guilty of selling drugs that had been adulterated and did not meet safety standards.,lose
313/2021,State vs. MM,2021,Rajasthan High Court,MM was convicted for selling a drug under a different name.,MM misrepresented one drug as another,lose
314/2020,State vs. NN,2020,Delhi High Court,NN was convicted for fouling water of a public reservoir.,NN was found guilty of polluting a public water source,win
315/2021,State vs. OO,2021,Madhya Pradesh High Court,OO was convicted for making the atmosphere noxious to health.,OO was found guilty of releasing harmful substances into the atmosphere.,win
316/2020,State vs. PP,2020,Chhattisgarh High Court,PP was convicted for rash driving on a public way.,PP was found guilty of driving recklessly,lose
317/2021,State vs. QQ,2021,West Bengal High Court,QQ was convicted for rash navigation of a vessel.,QQ navigated a vessel recklessly,win
318/2020,State vs. RR,2020,Karnataka High Court,RR was convicted for exhibiting false light on a navigational route.,RR was found guilty of exhibiting misleading lights that caused confusion and risked safety.,win
319/2021,State vs. SS,2021,Kerala High Court,SS was convicted for unsafe conveyance of passengers on a vessel.,SS was found guilty of operating an unsafe and overloaded vessel.,win
320/2020,State vs. TT,2020,Chhattisgarh High Court,TT was convicted for creating danger on a public way.,TT obstructed public roads,lose
321/2021,State vs. UU,2021,Delhi High Court,UU was convicted for negligent conduct with respect to poisonous substance.,UU was found negligent in handling poisonous substances,lose
322/2020,State vs. VV,2020,Madhya Pradesh High Court,VV was convicted for negligent conduct with fire.,VV was found guilty of negligent conduct involving fire,win
323/2021,State vs. WW,2021,West Bengal High Court,WW was convicted for negligent conduct with explosives.,WW was found guilty of mishandling explosives that endangered public safety.,win
324/2020,State vs. XX,2020,Delhi High Court,XX was convicted for negligent conduct with machinery.,XX was found guilty of operating machinery in a negligent manner,lose
325/2021,State vs. YY,2021,Chhattisgarh High Court,YY was convicted for negligent conduct during building repairs.,YY caused an accident during building repairs due to negligence.,lose
326/2020,State vs. ZZ,2020,Karnataka High Court,ZZ was convicted for negligent conduct with animals.,ZZ failed to control their animal,win
327/2021,State vs. AA,2021,Madhya Pradesh High Court,AA was convicted for public nuisance.,AA was found guilty of creating a public nuisance that affected public peace and health.,win
328/2020,State vs. BB,2020,West Bengal High Court,BB was convicted for continuing a nuisance after an injunction.,BB ignored an injunction to stop their actions that were causing a public nuisance.,lose
329/2021,State vs. CC,2021,Delhi High Court,CC was convicted for selling obscene material.,CC was found guilty of selling obscene books and materials to the public.,win
330/2021,State vs. AA,2021,Delhi High Court,AA was convicted for selling obscene objects to a young person.,AA was found guilty of distributing obscene materials to a person under 20 years of age.,win
331/2020,State vs. BB,2020,Kerala High Court,BB was convicted for performing obscene acts in public.,BB was found guilty of performing obscene acts that disrupted public order.,win
332/2021,State vs. CC,2021,Madhya Pradesh High Court,CC was convicted for operating a lottery office illegally.,CC was found guilty of running a lottery office in violation of the law.,lose
333/2020,State vs. DD,2020,Chhattisgarh High Court,DD was convicted for defiling a place of worship.,DD was found guilty of injuring a religious place with intent to insult a religion.,lose
334/2021,State vs. EE,2021,Delhi High Court,EE was convicted for deliberate and malicious acts to outrage religious feelings.,EE was found guilty of intentionally insulting religious feelings through derogatory acts.,win
335/2020,State vs. FF,2020,Karnataka High Court,FF was convicted for disturbing a religious assembly.,FF was found guilty of disturbing the peace during a religious gathering.,win
336/2021,State vs. GG,2021,Kerala High Court,GG was convicted for trespassing on a burial place.,GG was found guilty of trespassing on a cemetery and disrespecting the deceased.,lose
337/2020,State vs. HH,2020,West Bengal High Court,HH was convicted for uttering words to wound religious feelings.,HH was found guilty of making remarks intended to insult a religious group.,lose
338/2021,State vs. II,2021,Madhya Pradesh High Court,II was convicted for culpable homicide.,II was found guilty of causing death with the intent to kill.,win
339/2020,State vs. JJ,2020,Rajasthan High Court,JJ was convicted for murder.,JJ intentionally killed a person with malicious intent.,win
340/2021,State vs. KK,2021,Delhi High Court,KK was convicted for culpable homicide of an unintended victim.,KK accidentally killed someone other than their intended target.,lose
341/2020,State vs. LL,2020,Chhattisgarh High Court,LL was convicted for murder.,LL was convicted for committing murder with clear intent and malice.,win
342/2021,State vs. MM,2021,Kerala High Court,MM was convicted for murder as a life convict.,MM,win
343/2020,State vs. NN,2020,Madhya Pradesh High Court,NN was convicted for culpable homicide not amounting to murder.,NN caused death unintentionally,win
344/2021,State vs. OO,2021,Chhattisgarh High Court,OO was convicted for causing death by negligence.,OO caused an accidental death through negligence without intention to harm.,lose
345/2020,State vs. PP,2020,Delhi High Court,PP was convicted for dowry death.,PP was found guilty of causing a woman's death due to dowry-related violence.,lose
346/2021,State vs. QQ,2021,Rajasthan High Court,QQ was convicted for abetment of suicide of an insane person.,QQ was found guilty of encouraging an insane person to commit suicide.,win
347/2020,State vs. RR,2020,Karnataka High Court,RR was convicted for abetment of suicide.,RR was convicted for encouraging another person to take their own life.,win
348/2021,State vs. SS,2021,Chhattisgarh High Court,SS was convicted for attempting to murder.,SS was found guilty of attempting to murder a victim with a dangerous weapon.,lose
349/2020,State vs. TT,2020,Kerala High Court,TT was convicted for attempting to commit culpable homicide.,TT attempted to cause death but was unsuccessful.,lose
350/2021,State vs. UU,2021,Delhi High Court,UU was convicted for attempting to commit suicide.,UU was found guilty of attempting suicide under circumstances that required legal intervention.,win
351/2020,State vs. VV,2020,Rajasthan High Court,VV was convicted for being a thug.,VV was found guilty of participating in a gang that committed violent acts of strangulation.,win
352/2021,State vs. WW,2021,Madhya Pradesh High Court,WW was convicted for thug-like criminal activities.,WW was involved in strangulation as part of a criminal gang.,lose
353/2020,State vs. XX,2020,West Bengal High Court,XX was convicted for causing miscarriage.,XX caused a miscarriage either through direct action or negligence.,win
354/2021,State vs. YY,2021,Karnataka High Court,YY was convicted for causing miscarriage without consent.,YY was found guilty of causing miscarriage without the woman's consent.,win
355/2020,State vs. ZZ,2020,Delhi High Court,ZZ was convicted for causing death by act done with intent to cause miscarriage.,ZZ caused a death in the process of attempting to induce a miscarriage without consent.,win
356/2021,State vs. AA,2021,Chhattisgarh High Court,AA was convicted for preventing a child from being born alive.,AA was found guilty of actions intended to prevent a child from being born alive.,lose
357/2020,State vs. BB,2020,Karnataka High Court,BB was convicted for causing death of a quick unborn child.,BB caused the death of an unborn child that had reached the stage of quickening.,lose
358/2021,State vs. CC,2021,Delhi High Court,CC was convicted for abandoning a child under twelve years.,CC was found guilty of abandoning a child under 12,win
359/2020,State vs. DD,2020,Rajasthan High Court,DD was convicted for concealing the birth of a dead child.,DD was found guilty of secretly disposing of a dead child's body.,win
360/2021,State vs. AA,2021,Delhi High Court,AA was convicted for voluntarily causing hurt.,AA was found guilty of intentionally inflicting harm or torture on another person.,lose
361/2020,State vs. BB,2020,Karnataka High Court,BB was convicted for voluntarily causing grievous hurt.,BB intentionally inflicted grievous injuries that caused serious damage.,lose
362/2021,State vs. CC,2021,Kerala High Court,CC was convicted for causing hurt by dangerous means.,CC was found guilty of causing harm or torture using a dangerous weapon.,lose
363/2020,State vs. DD,2020,Madhya Pradesh High Court,DD was convicted for causing grievous hurt.,DD intentionally inflicted injuries that resulted in permanent damage.,lose
364/2021,State vs. EE,2021,Chhattisgarh High Court,EE was convicted for voluntarily causing grievous hurt.,EE was found guilty of inflicting grievous injuries that caused permanent disability.,lose
365/2020,State vs. FF,2020,West Bengal High Court,FF was convicted for voluntarily causing hurt.,FF was found guilty of intentionally inflicting harm that caused pain but not serious injury.,lose
366/2021,State vs. GG,2021,Rajasthan High Court,GG was convicted for causing grievous hurt with dangerous weapons.,GG was found guilty of using a dangerous weapon to cause grievous hurt.,lose
367/2020,State vs. HH,2020,Delhi High Court,HH was convicted for voluntarily causing grievous hurt by acid.,HH was found guilty of causing severe harm using acid as a weapon.,lose
368/2021,State vs. II,2021,Kerala High Court,II was convicted for attempting to throw acid.,II was found guilty of attempting to throw acid to cause harm.,lose
369/2020,State vs. JJ,2020,Chhattisgarh High Court,JJ was convicted for causing hurt to extort property.,JJ was found guilty of using harm as a tool to extort money from the victim.,lose
370/2021,State vs. KK,2021,Karnataka High Court,KK was convicted for causing hurt with poison.,KK was found guilty of poisoning the victim with the intent to commit a crime.,lose
371/2020,State vs. LL,2020,Rajasthan High Court,LL was convicted for causing grievous hurt to extort property.,LL intentionally inflicted grievous harm with the goal of extorting property.,lose
372/2021,State vs. MM,2021,Madhya Pradesh High Court,MM was convicted for causing grievous hurt to compel confession.,MM was found guilty of inflicting harm to extort a confession.,lose
373/2020,State vs. NN,2020,Delhi High Court,NN was convicted for causing grievous hurt to restore property.,NN intentionally caused grievous harm to compel the return of stolen property.,lose
374/2021,State vs. OO,2021,Kerala High Court,OO was convicted for causing grievous hurt to a public servant.,OO was found guilty of inflicting grievous harm to prevent a public servant from performing their duties.,lose
375/2020,State vs. PP,2020,Chhattisgarh High Court,PP was convicted for causing grievous hurt to deter a public servant.,PP was found guilty of injuring a public servant to hinder their work.,lose
376/2021,State vs. QQ,2021,Karnataka High Court,QQ was convicted for causing hurt on provocation.,QQ was found guilty of inflicting harm in response to provocation.,lose
377/2020,State vs. RR,2020,West Bengal High Court,RR was convicted for causing grievous hurt on provocation.,RR was found guilty of inflicting grievous harm in response to provocation.,lose
378/2021,State vs. SS,2021,Madhya Pradesh High Court,SS was convicted for endangering life.,SS was found guilty of an act that endangered the life and personal safety of others.,lose
379/2020,State vs. TT,2020,Chhattisgarh High Court,TT was convicted for endangering personal safety.,TT was found guilty of performing an act that endangered the personal safety of others.,lose
1959_AIR_136,Kedar Nath Singh v. State of Bihar,1962,Supreme Court of India,Constitutional validity of sedition law,The Court upheld Section 124A but narrowed its scope to apply only to acts involving incitement to violence or public disorder against the State,lose
1973_AIR_231,Madhavi v. State of Madhya Pradesh,1972,Supreme Court of India,Difference between murder and culpable homicide,Clarified Section 300 murder vs Section 304 culpable homicide not amounting to murder based on intention and knowledge,win
1978_AIR_597,Moti Ram v. State of Madhya Pradesh,1978,Supreme Court of India,Right to bail under Section 436 and 437,Established that bail should be the rule and jail the exception; courts should be liberal in granting bail,win
1983_AIR_957,Bachan Singh v. State of Punjab,1980,Supreme Court of India,Constitutional validity of death penalty,Upheld constitutionality of death penalty under Section 302 IPC but restricted it to rarest of rare cases only,lose
1985_AIR_1618,Kartar Singh v. State of Punjab,1994,Supreme Court of India,Constitutionality of TADA provisions,Examined Section 120B IPC criminal conspiracy in relation to special laws,lose
1991_SCR_1,Shivaji Sahebrao Bobade v. State of Maharashtra,1973,Supreme Court of India,Principle of benefit of doubt,Established that reasonable doubt in cases under Section 302 murder must benefit the accused,win
1995_SCC_14,State of M.P. v. Shobharam,1966,Supreme Court of India,Distinction between theft and robbery,Clarified elements required to establish offenses under Section 379 theft versus Section 392 robbery,lose
AIR_1996_SC_1393,State of Maharashtra v. Christian Community Welfare Council,1996,Supreme Court of India,Interpretation of Section 498A,Established guidelines for handling dowry harassment and domestic violence  cases under Section 498A,lose
2004_SCC_158,State of Rajasthan v. Narayan,2004,Supreme Court of India,Requirements for conviction in rape cases,Clarified Section 376 rape evidentiary standards and victim testimony value,win
2005_AIR_5590,State of Karnataka v. Krishnappa,2000,Supreme Court of India,Sexual assault against minors,Set precedent for strict interpretation of Section 376 rape involving minor victims,win
2010_14_SCC_641,Lalita Kumari v. Govt. of U.P.,2014,Supreme Court of India,Mandatory FIR registration,Made registration of FIR mandatory under Section 154 for cognizable offenses,win
2013_7_SCC_77,Aruna Ramchandra Shanbaug v. Union of India,2011,Supreme Court of India,Passive euthanasia legality,Interpreted Section 306 attempted suicide and recognized passive euthanasia in certain circumstances,win
2014_AIR_SC_1863,Suresh Kumar Koushal v. Naz Foundation,2013,Supreme Court of India,Constitutionality of Section 377,Upheld Section 377 criminalizing homosexual acts between consenting adults,lose
2018_SC_1676,Navtej Singh Johar v. Union of India,2018,Supreme Court of India,Decriminalization of homosexuality,Struck down Section 377 as unconstitutional insofar as it criminalized consensual sexual conduct between adults,win
2019_AIR_SC_1278,Joseph Shine v. Union of India,2018,Supreme Court of India,Adultery law unconstitutional,Struck down Section 497 that criminalized adultery as unconstitutional,win
2020_SCC_1,K.S. Puttaswamy v. Union of India,2017,Supreme Court of India,Right to privacy,Established right to privacy as fundamental right affecting interpretation of several IPC sections,win
2020_SCC_OnLine_SC_345,Vishaka v. State of Rajasthan,1997,Supreme Court of India,Sexual harassment at workplace,Established guidelines under Section 354 and Section 509 before enactment of special laws,win
CRM_1279_2022,P. Rathinam v. Union of India,1994,Supreme Court of India,Attempted suicide decriminalization,Declared Section 309 attempted suicide unconstitutional but later overruled,win
CRL_A_249_2004,State of Punjab v. Gurmit Singh,1996,Supreme Court of India,Evidence in sexual offense cases,Set standards for victim testimony credibility under Section 376 rape cases,win
SLP_CRLMP_5596_2012,Arnesh Kumar v. State of Bihar,2014,Supreme Court of India,Arrest procedures in dowry cases,Issued guidelines restricting automatic arrests under Section 498A dowry harassment,win
2011_CR_LJ_2560,State of Maharashtra v. Alka Shinde,2011,Supreme Court of India,Drunken driving causing death,Court held that causing death by negligence under Section 304A IPC applies to drunken driving causing fatal accidents,lose
2007_CR_LJ_3009,State of Tamil Nadu v. Raj Kumar,2007,Madras High Court,Blood alcohol testing standards,Established admissibility standards for breath analyzer and blood alcohol test results under Section 279 IPC along with Motor Vehicles Act,win
2016_SCC_ONLINE_SC_979,State of Punjab v. Harjinder Singh,2016,Supreme Court of India,Culpable homicide vs negligence,Distinguished drunk driving resulting in death as culpable homicide under Section 304 Part II rather than mere negligence under Section 304A,win
2012_AIR_SC_3539,Dalbir Singh v. State of Haryana,2000,Supreme Court of India,Drunk driving as knowledge of death,Established that driving under severe intoxication shows knowledge that death may result applying Section 304 Part II IPC,lose
2013_CR_LJ_3928,Siddharth Bhatnagar v. State,2013,Delhi High Court,Non-fatal drunken accident standard,Applied rash and negligent act endangering human life under Section 336 IPC for non-fatal drunken driving accidents,win
2007_CR_LJ_3614,Ramesh Kumar v. State of Maharashtra,2007,Bombay High Court,Chain snatching as robbery,Court held that snatching gold chain with force amounts to robbery under Section 392 IPC rather than theft under Section 379,win
2012_SCC_ONLINE_BOM_1554,Bantu Shivaji Mhaske v. State of Maharashtra,2012,Bombay High Court,Use of force in chain snatching,Established that any force used while snatching chain constitutes robbery under Section 392 even without causing injury,win
2015_ALL_MR_CRI_2855,Prakash Nath v. State,2015,Delhi High Court,Evidence standards in chain snatching,Set evidence standards for chain snatching cases under Section 392 IPC including witness testimony reliability,lose
2010_Cr_LJ_1254,State v. Mahendra Singh,2010,Delhi High Court,Distinction between theft and robbery,Clarified when chain snatching constitutes theft under Section 379 versus robbery under Section 392 based on force used,win
2018_SCC_ONLINE_MAD_2544,Manoharan v. State of Tamil Nadu,2018,Madras High Court,Chain snatching as extortion,Distinguished between chain snatching as robbery Section 392 versus extortion Section 383 based on threat element,win
2014_AIR_SC_3060,Rafiq Ahmad v. State of UP,2014,Supreme Court of India,Use of violence in chain snatching,Established that use of minimal force in chain snatching elevates the offense from theft to robbery under Section 392,win
2012_CR_LJ_2404,Sunil Kumar v. State of Rajasthan,2012,Rajasthan High Court,Identification in chain snatching,Set standards for witness identification validity in chain snatching cases under Section 392,lose
1982_CR_LJ_1103,Gopal Lal v. State of Rajasthan,1982,Rajasthan High Court,Elements of fraudulent marriage,Established essential elements for conviction under Section 496 including deception and knowledge of prior existing marriage,win
1990_AIR_SC_1412,Pashaura Singh v. State of Punjab,1990,Supreme Court of India,Distinction from bigamy,Distinguished Section 496 fraudulent marriage from Section 494 bigamy based on intent to deceive rather than concurrent marriages,win
2005_CR_LJ_2812,Adil Khan v. State of Delhi,2005,Delhi High Court,Proof of deception,Established that prosecution must prove deceptive intent at time of marriage ceremony for Section 496 conviction,lose
2010_SCC_ONLINE_AP_526,Ramesh Kumar v. State of Andhra Pradesh,2010,Andhra Pradesh High Court,False representation of religion,Held that misrepresentation of religion to perform marriage under false pretenses constitutes offense under Section 496,win
1998_SCC_ONLINE_BOM_696,Prakash Chandra v. State of Maharashtra,1998,Bombay High Court,Going through ceremony knowing invalidity,Clarified that knowledge of marriage invalidity is essential element for Section 496 conviction,win
2013_CR_LJ_3298,Meena Kumari v. State of Haryana,2013,Punjab & Haryana High Court,Concurrent prosecution with Section 420,Permitted concurrent prosecution under Section 496 and Section 420 cheating in fraudulent marriage cases,win
2015_SCC_ONLINE_SC_1243,Deepak Gulati v. State of Haryana,2015,Supreme Court of India,False promise of marriage vs fraudulent ceremony,Distinguished between false promise of marriage Section 375 rape and fraudulent marriage ceremony under Section 496,lose
369,Kidnapping Case (State vs X),2015,Delhi High Court,The court held that the accused forcibly took the victim and kept them confined without consent,The case involved a minor being kidnapped by a stranger for ransom,win
370,Online Defamation (State vs Y),2017,Mumbai Sessions Court,The accused was found guilty of spreading false defamatory content online,The accused spread defamatory content about a prominent individual on social media resulting in harm to their reputation,lose
371,Online Fraud Case (State vs Z),2019,Kolkata High Court,The court ruled that the accused had misused online platforms to defraud  the victim of money,The accused set up a fake e-commerce website and tricked users into buying non-existent products,win
372,Kidnapping and Ransom (State vs A),2020,Allahabad High Court,The court found that the accused had kidnapped the victim for ransom,The accused kidnapped a businessman's child demanding a ransom,lose
373,Online Harassment (State vs B),2018,Hyderabad Sessions Court,The accused was found guilty of cyberstalking and harassment via social media,The accused sent threatening messages to a woman online and attempted to extort money from her,lose
376,Online Child Exploitation (State vs C),2021,Bangalore High Court,The court convicted the accused of distributing child pornography online,The accused was caught distributing explicit content of minors via a dark web platform,lose
377,Kidnapping for Marriage (State vs D),2016,Chandigarh High Court,The court acquitted the accused citing lack of evidence and misinterpretation of intentions,The accused allegedly kidnapped a woman with the intention of marrying her without her consent,lose
378,Phishing Attack Case (State vs E),2022,Delhi Sessions Court,The accused was convicted for a phishing scam involving bank account details,The accused stole personal banking information from victims via fake emails and online links,lose
379,Money Laundering Case (ED vs X),2018,Delhi High Court,The accused was found guilty of laundering money through shell companies,The accused used fake companies to launder large sums of money generated through illegal activities,win
380,Gold Smuggling Case (State vs Yusuf),2019,Kerala High Court,The accused was convicted for smuggling gold into India and evading customs duties,The accused smuggled gold from the Middle East by hiding it inside goods,lose
381,Money Laundering (State vs Z),2020,Bangalore Sessions Court,The court ruled that the accused had transferred funds to foreign accounts using illegal methods,The accused was involved in money laundering through fake investment schemes to move funds out of India,win
382,Gold Smuggling (Customs vs Abhijith),2021,Chennai High Court,The accused was found guilty of gold smuggling and was sentenced to imprisonment,The accused smuggled gold in large quantities using false customs declarations,lose
383,Money Laundering (ED vs B),2022,Mumbai High Court,The accused was acquitted due to insufficient evidence of money laundering activities,The accused was accused of laundering money through fraudulent business transactions,lose
384,Gold Smuggling (State vs C),2023,Hyderabad High Court,The accused was found guilty of smuggling gold via the air cargo route,The accused attempted to bring gold illegally into India using a cargo flight,win
385,Money Laundering (ED vs D),2021,Delhi Special Court,The accused was convicted for money laundering involving illicit drug trade profits,The accused laundered money from illegal drug sales through overseas bank accounts,win
386,Gold Smuggling (Customs vs E),2022,Kochi High Court,The court dismissed the case due to lack of concrete evidence linking the accused to the smuggling operation,The accused was suspected of smuggling gold into India but there was no conclusive proof,lose
387,Financial Fraud Case (State vs A),2018,Delhi High Court,The accused was found guilty of embezzling funds from investors,The accused operated a Ponzi scheme collecting money from investors with false promises of high returns,win
388,Insurance Scam (State vs B),2017,Mumbai Sessions Court,The accused was convicted for filing fake insurance claims,The accused created fake accident documents to claim insurance for a non-existent vehicle accident,win
389,Financial Fraud Case (ED vs C),2020,Bangalore Special Court,The accused was convicted for money laundering involving fraudulent loans,The accused misused their position in a bank to approve fake loans and siphon off funds,win
390,Insurance Fraud (State vs D),2019,Chennai High Court,The court acquitted the accused citing lack of evidence,The accused was accused of forging documents to collect insurance money for a staged fire in their business,lose
391,Financial Fraud (State vs E),2021,Hyderabad High Court,The court found the accused guilty of defrauding clients in a fraudulent investment scheme,The accused promised high returns on investments but used the money for personal gain,win
