section_id,law_name,section_number,title,text
234,Indian penal code,202,Intentional omission to give information of offence by person bound to inform,Punishes anyone who intentionally omits to inform authorities about an offence they are legally required to report.
235,Indian penal code,203,Giving false information respecting an offence committed,Punishes the act of providing false information regarding a crime that has been committed.
236,Indian penal code,204,Destruction of document to prevent its production as evidence,Punishes the intentional destruction of documents to prevent them from being used as evidence.
237,Indian penal code,205,False personation for purpose of act or proceeding in suit or prosecution,Punishes the act of impersonating someone for the purpose of a suit or legal proceeding.
238,Indian penal code,206,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution,Punishes fraudulent acts to hide or remove property to prevent its seizure.
239,Indian penal code,207,Fraudulent claim to property to prevent its seizure as forfeited or in execution,Punishes making fraudulent claims to property to prevent its seizure by authorities.
240,Indian penal code,208,Fraudulently suffering decree for sum not due,Punishes fraudulent actions taken to obtain a decree for an amount that is not actually due.
241,Indian penal code,209,Dishonestly making false claim in Court,Punishes anyone who makes a false or dishonest claim in a court of law.
242,Indian penal code,210,Fraudulently obtaining decree for sum not due,Punishes the act of fraudulently obtaining a court decree for a sum not legally due.
243,Indian penal code,211,False charge of offence made with intent to injure,Punishes anyone who falsely charges another person with an offence to cause harm or injury.
244,Indian penal code,212,Harbouring offender,Punishes the act of harbouring a criminal offender with specific penalties depending on the nature of the crime committed.
245,Indian penal code,213,"Taking gift, etc., to screen an offender from punishment",Punishes the act of accepting a gift or any other consideration to help an offender avoid punishment.
246,Indian penal code,214,Offering gift or restoration of property in consideration of screening offender,Punishes the act of offering a gift or restoring property to help an offender avoid punishment.
247,Indian penal code,215,"Taking gift to help to recover stolen property, etc.",Punishes the acceptance of a gift or bribe to help recover stolen property or conceal it.
248,Indian penal code,216,Harbouring offender who has escaped from custody or whose apprehension has been ordered,Punishes harbouring an offender who has escaped custody or whose arrest has been ordered by authorities.
249,Indian penal code,216A,Penalty for harbouring robbers or dacoits,Imposes a penalty for harbouring robbers or dacoits (bandits).
250,Indian penal code,217,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture,Punishes public servants who disobey the law with the intent to save someone from punishment or property from seizure.
251,Indian penal code,218,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture,Punishes public servants who frame incorrect records or documents with the intention to protect a person from punishment or forfeiture.
252,Indian penal code,219,"Public servant in judicial proceeding corruptly making report, etc., contrary to law",Punishes public servants who make corrupt or illegal reports during judicial proceedings.
253,Indian penal code,220,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law,Punishes anyone who commits or confines someone knowing they are acting contrary to law.
254,Indian penal code,221,Intentional omission to apprehend on the part of public servant bound to apprehend,Punishes a public servant who intentionally omits to apprehend a person when legally bound to do so.
255,Indian penal code,222,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed,Punishes public servants who intentionally omit to apprehend someone under a sentence or legal commitment.
256,Indian penal code,223,Escape from confinement or custody negligently suffered by public servant,Punishes negligence by public servants that allows an offender to escape from confinement or custody.
257,Indian penal code,224,Resistance or obstruction by a person to his lawful apprehension,Punishes anyone who resists or obstructs their lawful apprehension by authorities.
258,Indian penal code,225,Resistance or obstruction to lawful apprehension of another person,Punishes anyone who resists or obstructs the lawful apprehension of another person.
259,Indian penal code,225A,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for",Punishes public servants for failing to apprehend or negligently allowing an escape in cases not covered by other sections.
260,Indian penal code,225B,"Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for",Punishes resistance or obstruction in cases not covered by other sections including escape or rescue.
261,Indian penal code,227,Violation of condition of remission of punishment,Punishes the violation of any condition attached to a remission of punishment.
262,Indian penal code,228,Intentional insult or interruption to public servant sitting in judicial proceeding,Punishes anyone who insults or interrupts a public servant during a judicial proceeding.
263,Indian penal code,228A,"Disclosure of identity of the victim of certain offences, etc.",Punishes the disclosure of the identity of victims of certain crimes like rape where their identity is protected by law.
264,Indian penal code,229,Personation of a juror or assessor,Punishes impersonation of a juror or assessor in a court proceeding.
265,Indian penal code,229A,Failure by person released on bail or bond to appear in Court,Punishes a person who has been released on bail or bond but fails to appear in court when required.
266,Indian penal code,230,�Coin� defined,"Defines what constitutes ""coin"" in the context of the Indian Penal Code."
267,Indian penal code,231,Indian coin,"Defines ""Indian coin"" under the Indian Penal Code."
268,Indian penal code,232,Counterfeiting coin,Punishes the act of counterfeiting any coin making fake coins with the intent to defraud.
269,Indian penal code,233,Counterfeiting Indian coin,Punishes the counterfeiting of Indian coins specifically including making fake Indian coins.
270,Indian penal code,234,Making or selling instrument for counterfeiting coin,Punishes the act of making or selling instruments used for counterfeiting any coin.
271,Indian penal code,235,Making or selling instrument for counterfeiting Indian coin,Punishes the act of making or selling instruments for counterfeiting Indian coins.
272,Indian penal code,236,Possession of instrument or material for the purpose of counterfeiting coin,Punishes possessing instruments or materials for the purpose of counterfeiting coins including Indian coins.
273,Indian penal code,237,Abetting in India the counterfeiting out of India of coin,Punishes abetting the counterfeiting of coin outside India with an emphasis on Indian coins.
274,Indian penal code,238,Import or export of counterfeit coin,Punishes the act of importing or exporting counterfeit coins.
275,Indian penal code,239,Import or export of counterfeit Indian coin,Punishes the act of importing or exporting counterfeit Indian coins.
276,Indian penal code,240,"Delivery of coin, possessed with knowledge that it is counterfeit",Punishes delivering a coin when the deliverer knows that it is counterfeit.
277,Indian penal code,241,"Delivery of Indian coin, possessed with knowledge that it is counterfeit",Punishes delivering an Indian coin that the deliverer knows is counterfeit.
278,Indian penal code,242,"Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit",Punishes delivering a coin that the deliverer did not know was counterfeit when first obtained.
279,Indian penal code,243,Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof,Punishes the possession of a counterfeit coin when the possessor knew it was counterfeit at the time of possession.
280,Indian penal code,244,Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof,Punishes the possession of an Indian coin that the possessor knew to be counterfeit.
281,Indian penal code,245,Person employed in mint causing coin to be of different weight or composition from that fixed by law,Punishes mint employees who cause coins to be of different weight or composition than what is prescribed by law.
282,Indian penal code,246,Unlawfully taking coining instrument from mint,Punishes the unlawful removal of coining instruments from the mint.
283,Indian penal code,247,Fraudulently or dishonestly diminishing weight or altering composition of coin,Punishes the fraudulent or dishonest act of diminishing the weight or altering the composition of any coin.
284,Indian penal code,248,Fraudulently or dishonestly diminishing weight or altering composition of Indian coin,Punishes fraudulent or dishonest acts that alter the weight or composition of Indian coins.
285,Indian penal code,249,Altering appearance of coin with intent that it shall pass as coin of different description,Punishes altering the appearance of a coin with the intent to make it pass as a different type of coin.
286,Indian penal code,250,Altering appearance of Indian coin with intent that it shall pass as coin of different description,Punishes altering the appearance of an Indian coin with the intent to make it pass as a different type of coin.
287,Indian penal code,251,"Delivery of coin, possessed with knowledge that it is altered",Punishes delivering a coin when the deliverer knows it has been altered.
288,Indian penal code,252,"Delivery of Indian coin, possessed with knowledge that it is altered",Punishes delivering an Indian coin that the deliverer knows has been altered.
289,Indian penal code,253,Possession of coin by person who knew it to be altered when he became possessed thereof,Punishes possession of a coin that the possessor knew to have been altered at the time of possession.
290,Indian penal code,254,Possession of Indian coin by person who knew it to be altered when he became possessed thereof,Punishes the possession of an altered Indian coin when the possessor knew of the alteration at the time of possession.
291,Indian penal code,255,Counterfeiting Government stamp,Punishes the counterfeiting of a Government stamp used for official purposes.
292,Indian penal code,256,Having possession of instrument or material for counterfeiting Government stamp,Punishes the possession of instruments or materials intended for counterfeiting Government stamps.
293,Indian penal code,257,Making or selling instrument for counterfeiting Government stamp,Punishes the act of making or selling instruments used for counterfeiting Government stamps.
294,Indian penal code,258,Sale of counterfeit Government stamp,Punishes the sale of counterfeit Government stamps.
295,Indian penal code,259,Having possession of counterfeit Government stamp,Punishes the possession of counterfeit Government stamps.
296,Indian penal code,260,Using as genuine a Government stamp known to be counterfeit,Punishes using a counterfeit Government stamp as genuine.
297,Indian penal code,261,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government",Punishes anyone who effaces writing from or removes a Government stamp from a document with the intent to cause financial loss to the Government.
298,Indian penal code,262,Using Government stamp known to have been before used,Punishes the use of a Government stamp that the person knows has been used previously.
299,Indian penal code,263,Erasure of mark denoting that stamp has been used,Punishes the act of erasing marks that indicate a stamp has been used.
300,Indian penal code,263A,Prohibition of fictitious stamps,Prohibits the creation or use of fictitious stamps that are not authorized by the Government.
301,Indian penal code,264,Fraudulent use of false instrument for weighing,Punishes the fraudulent use of a false instrument for weighing with the intent to deceive or defraud.
302,Indian penal code,265,Fraudulent use of false weight or measure,Punishes the fraudulent use of false weights or measures with the intent to deceive or cause loss.
303,Indian penal code,266,Being in possession of false weight or measure,Punishes the possession of false weights or measures knowing them to be false with the intent to deceive.
304,Indian penal code,267,Making or selling false weight or measure,Punishes the act of making or selling false weights or measures which are intended to deceive or defraud.
305,Indian penal code,268,Public nuisance,Defines and punishes acts that cause a public nuisance affecting the comfort health or safety of the public.
306,Indian penal code,269,Negligent act likely to spread infection of disease dangerous to life,Punishes negligent acts that could spread dangerous infectious diseases endangering life.
307,Indian penal code,270,Malignant act likely to spread infection of disease dangerous to life,Punishes willful or malicious acts that are likely to spread dangerous infections endangering life.
308,Indian penal code,271,Disobedience to quarantine rule,Punishes the violation of quarantine rules intended to prevent the spread of diseases.
309,Indian penal code,272,Adulteration of food or drink intended for sale,Punishes the adulteration of food or drink that is intended for sale which could harm consumers.
310,Indian penal code,273,Sale of noxious food or drink,Punishes the sale of food or drink that is harmful or dangerous to health.
311,Indian penal code,274,Adulteration of drugs,Punishes the adulteration of drugs which could be harmful or dangerous for consumers.
312,Indian penal code,275,Sale of adulterated drugs,Punishes the sale of adulterated drugs that are harmful or do not meet the required standards for use.
313,Indian penal code,276,Sale of drug as a different drug or preparation,Punishes the sale of one drug being misrepresented as a different drug or preparation.
314,Indian penal code,277,Fouling water of public spring or reservoir,Punishes the act of polluting or fouling the water of public springs or reservoirs.
315,Indian penal code,278,Making atmosphere noxious to health,Punishes the act of releasing substances into the atmosphere that are harmful to health.
316,Indian penal code,279,Rash driving or riding on a public way,Punishes rash or negligent driving or riding on public roads that endangers safety.
317,Indian penal code,280,Rash navigation of vessel,Punishes rash or negligent navigation of a vessel that endangers safety.
318,Indian penal code,281,"Exhibition of false light, mark, or buoy",Punishes the exhibition of false lights marks or buoys which can mislead or cause accidents.
319,Indian penal code,282,Conveying person by water for hire in unsafe or overloaded vessel,Punishes the conveyance of passengers in an unsafe or overloaded vessel for hire.
320,Indian penal code,283,Danger or obstruction in public way or line of navigation,Punishes acts that create danger or obstructions on public ways or navigational routes.
321,Indian penal code,284,Negligent conduct with respect to poisonous substance,Punishes negligent conduct related to poisonous substances that can cause harm.
322,Indian penal code,285,Negligent conduct with respect to fire or combustible matter,Punishes negligent conduct involving fire or combustible materials that can cause danger.
323,Indian penal code,286,Negligent conduct with respect to explosive substance,Punishes negligent conduct involving explosives that can endanger public safety.
324,Indian penal code,287,Negligent conduct with respect to machinery,Punishes negligent conduct involving machinery that endangers safety.
325,Indian penal code,288,Negligent conduct with respect to pulling down or repairing buildings,Punishes negligent conduct related to the demolition or repair of buildings that creates danger.
326,Indian penal code,289,Negligent conduct with respect to animal,Punishes negligent conduct involving animals that causes harm or injury.
327,Indian penal code,290,Punishment for public nuisance in cases not otherwise provided for,Punishes public nuisance that is not specifically covered in other sections.
328,Indian penal code,291,Continuance of nuisance after injunction to discontinue,Punishes the continuation of a public nuisance after an injunction has been issued to stop it.
329,Indian penal code,292,"Sale, etc., of obscene books, etc.",Punishes the sale or distribution of obscene books drawings or other materials.
330,Indian penal code,293,"Sale, etc., of obscene objects to young person",Punishes the sale or distribution of obscene objects to young persons under the age of 20.
331,Indian penal code,294,Obscene acts and songs,Punishes the public performance or singing of obscene acts or songs.
332,Indian penal code,294A,Keeping lottery office,Punishes the act of keeping a lottery office which is generally prohibited under law.
333,Indian penal code,295,Injuring or defiling place of worship with intent to insult the religion of any class,Punishes the act of injuring or defiling a place of worship with the intent to insult the religion of any class.
334,Indian penal code,295A,Deliberate and malicious acts intended to outrage religious feelings of any class by insulting its religion or religious beliefs,Punishes acts that deliberately and maliciously insult or outrage the religious feelings of any class of people.
335,Indian penal code,296,Disturbing religious assembly,Punishes the act of disturbing a religious assembly or congregation.
336,Indian penal code,297,"Trespassing on burial places, etc.",Punishes the act of trespassing on burial grounds cemeteries or places of religious significance.
337,Indian penal code,298,"Uttering words, etc., with deliberate intent to wound the religious feelings",Punishes the utterance of words sounds or gestures with the deliberate intent to hurt religious feelings.
338,Indian penal code,299,Culpable homicide,"Defines ""culpable homicide"" as causing death with the intent to cause death or with knowledge that death is likely."
339,Indian penal code,300,Murder,"Defines ""murder"" as a more severe form of culpable homicide where the intention or knowledge is more deliberate and malicious."
340,Indian penal code,301,Culpable homicide by causing death of person other than person whose death was intended,Punishes situations where a person unintentionally causes the death of someone other than their intended target.
341,Indian penal code,302,Punishment for murder,Specifies the punishment for murder or killing a person which may be the death penalty or life imprisonment along with a fine.
342,Indian penal code,303,Punishment for murder by life-convict,Punishes a life-convict who commits murder with the death penalty.
343,Indian penal code,304,Punishment for culpable homicide not amounting to murder,Specifies punishment for culpable homicide that is not considered murder including varying degrees of imprisonment.
344,Indian penal code,304A,Causing death by negligence,Punishes the causing of death by negligent or rash acts without any intention to kill.
345,Indian penal code,304B,Dowry death,Defines dowry death as a death occurring due to dowry-related harassment or violence and specifies punishment.
346,Indian penal code,305,Abetment of suicide of child or insane person,Punishes the act of abetting or encouraging the suicide of a child or insane person.
347,Indian penal code,306,Abetment of suicide,Punishes anyone who abets or encourages another person to commit suicide.
348,Indian penal code,307,Attempt to murder,Punishes the act of attempting to commit murder with the same severity as a completed murder.
349,Indian penal code,308,Attempt to commit culpable homicide,Punishes the act of attempting to commit culpable homicide which is a lesser offense than murder.
350,Indian penal code,309,Attempt to commit suicide,Punishes the attempt to commit suicide.
351,Indian penal code,310,Thug,"Defines the offense of ""thug"" as a person who engages in criminal acts of strangulation or other violent acts as part of a gang."
352,Indian penal code,311,Punishment,Specifies the punishment for the offense of being a thug.
353,Indian penal code,312,Causing miscarriage,Defines the offense of causing a miscarriage either by a person or by a woman herself. The punishment varies depending on intent and circumstances.
354,Indian penal code,313,Causing miscarriage without woman's consent,Specifies punishment for causing miscarriage without the woman's consent including scenarios where the act is done intentionally or recklessly.
355,Indian penal code,314,Death caused by act done with intent to cause miscarriage,Punishes causing death as a result of an act intended to cause miscarriage especially if done without the woman's consent.
356,Indian penal code,315,Act done with intent to prevent child being born alive or to cause it to die after birth,Punishes acts intended to prevent a child from being born alive or to cause the death of the child after birth either before or after birth.
357,Indian penal code,316,Causing death of quick unborn child by act amounting to culpable homicide,"Punishes causing the death of a ""quick"" unborn child (a child that has reached a stage where its movements can be felt by the mother) by an act of culpable homicide."
358,Indian penal code,317,"Exposure and abandonment of child under twelve years, by parent or person having care of it",Punishes the act of a parent or person who has care of a child under twelve years of age for abandoning or exposing the child which could lead to harm or danger to the child's life or well-being.
359,Indian penal code,318,Concealment of birth by secret disposal of dead body,This section deals with the concealment of a child's birth by secretly disposing of the dead body which includes situations where a mother or anyone involved in the birth disposes of the body in secrecy to avoid detection.
360,Indian penal code,319,Hurt,"Defines the term ""hurt"" as any bodily injury that causes pain harm or injury to a person but does not cause serious damage."
361,Indian penal code,320,Grievous hurt,"Lists specific injuries that qualify as ""grievous"" such as the destruction of a limb permanent disfiguration etc."
362,Indian penal code,321,Voluntarily causing hurt,Punishes the act of deliberately inflicting hurt on someone.
363,Indian penal code,322,Voluntarily causing grievous hurt,Punishes the intentional infliction of grievous hurt.
364,Indian penal code,323,Punishment for voluntarily causing hurt,Specifies punishment for causing hurt intentionally.
365,Indian penal code,324,Voluntarily causing hurt by dangerous weapons or means,Punishes the deliberate act of causing hurt using dangerous weapons or harmful means.
366,Indian penal code,325,Punishment for voluntarily causing grievous hurt,Provides punishment for the intentional infliction of grievous hurt.
367,Indian penal code,326,Voluntarily causing grievous hurt by dangerous weapons or means,Punishes causing grievous hurt with dangerous weapons or means.
368,Indian penal code,326A,"Voluntarily causing grievous hurt by use of acid, etc.",Specifically punishes the act of causing grievous hurt by the use of acid or similar corrosive substances.
369,Indian penal code,326B,Voluntarily throwing or attempting to throw acid,Punishes the act of throwing acid or attempting to do so with intent to cause harm.
370,Indian penal code,327,"Voluntarily causing hurt to extort property, or to constrain to an illegal act",Punishes causing hurt with the intent to extort property or force someone into an illegal act.
371,Indian penal code,328,"Causing hurt by means of poison, etc., with intent to commit an offence",Punishes causing harm through poison or similar means to commit a crime.
372,Indian penal code,329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act",Punishes causing grievous hurt with intent to extort property or force someone into an illegal act.
373,Indian penal code,330,"Voluntarily causing hurt to extort confession, or to compel restoration of property",Punishes causing hurt to force someone to confess or restore property.
374,Indian penal code,331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property",Punishes causing grievous hurt for the purpose of extorting a confession or forcing the return of property.
375,Indian penal code,332,Voluntarily causing hurt to deter public servant from his duty,Punishes causing hurt to prevent or deter a public servant from performing their duties.
376,Indian penal code,333,Voluntarily causing grievous hurt to deter public servant from his duty,Punishes causing grievous hurt to stop a public servant from performing their official duties.
377,Indian penal code,334,Voluntarily causing hurt on provocation,Punishes causing hurt in response to provocation.
378,Indian penal code,335,Voluntarily causing grievous hurt on provocation,Punishes causing grievous hurt in response to provocation.
379,Indian penal code,336,Act endangering life or personal safety of others,Defines the act of endangering life or personal safety of others.
380,Indian penal code,337,Causing hurt by act endangering life or personal safety of others,Punishes causing hurt through an act that endangers the life or personal safety of others.
381,Indian penal code,338,Causing grievous hurt by act endangering life or personal safety of others,Punishes causing grievous hurt through an act that endangers the life or personal safety of others.
382,Indian penal code,339,Wrongful restraint,Defines wrongful restraint as preventing someone from moving in any direction in which they have a right to move.
383,Indian penal code,340,Wrongful confinement,Defines wrongful confinement as intentionally detaining a person in such a manner that they cannot leave the place.
384,Indian penal code,341,Punishment for wrongful restraint,Specifies the punishment for wrongful restraint which can include imprisonment or a fine.
385,Indian penal code,342,Punishment for wrongful confinement,Specifies the punishment for wrongful confinement which can include imprisonment or a fine.
386,Indian penal code,343,Wrongful confinement for three or more days,Punishes wrongful confinement that lasts for three or more days with a more severe penalty.
387,Indian penal code,344,Wrongful confinement for ten or more days,Punishes wrongful confinement that lasts for ten or more days with an even more severe penalty.
388,Indian penal code,345,Wrongful confinement of person for whose liberation writ has been issued,Punishes wrongful confinement of a person when a writ of liberation (a court order for release) has been issued.
389,Indian penal code,346,Wrongful confinement in secret,Punishes wrongful confinement in secret places where the person is confined in such a way that they cannot be found.
390,Indian penal code,347,"Wrongful confinement to extort property, or constrain to illegal act",Punishes wrongful confinement if it is done to extort property or compel a person to perform an illegal act.
391,Indian penal code,348,"Wrongful confinement to extort confession, or compel restoration of property",Punishes wrongful confinement used to force a confession or compel the return of property.
392,Indian penal code,349,Force,"Defines ""force"" as any physical exertion against a person which could include physical pressure or coercion."
393,Indian penal code,350,Criminal force,"Defines ""criminal force"" as the use of force with the intent to commit an offense such as causing harm or injury."
394,Indian penal code,351,Assault,"Defines ""assault"" as the intentional act of attempting or threatening to use criminal force on someone."
395,Indian penal code,352,Punishment for assault or criminal force otherwise than on grave provocation,Specifies the punishment for assault or criminal force unless the act was provoked severely.
396,Indian penal code,353,Assault or criminal force to deter public servant from discharge of his duty,Punishes assault or criminal force used to prevent or deter a public servant from performing their lawful duties.
397,Indian penal code,354,Assault or criminal force to woman with intent to outrage her modesty,Punishes assault or criminal force against a woman with the intent to outrage her modesty.
398,Indian penal code,354A,Sexual harassment and punishment for sexual harassment,Defines sexual harassment and outlines punishments for such acts which may involve unwanted physical contact or advances.
399,Indian penal code,354B,Assault or use of criminal force to woman with intent to disrobe,Punishes assault or criminal force used to remove or disrobe a woman against her will.
400,Indian penal code,354C,Voyeurism,Defines voyeurism as observing a woman in a private place without her consent with the intent to satisfy sexual desires.
401,Indian penal code,354D,Stalking,Defines stalking and provides punishment for the act of following contacting or monitoring someone persistently.
402,Indian penal code,355,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation",Punishes assault or criminal force with the intent to dishonor someone unless provoked in a grave manner.
403,Indian penal code,356,Assault or criminal force in attempt to commit theft of property carried by a person,Punishes assault or criminal force used to try to steal property from someone.
404,Indian penal code,357,Assault or criminal force in attempt wrongfully to confine a person,Punishes assault or criminal force used to attempt to wrongfully confine someone.
405,Indian penal code,358,Assault or criminal force on grave provocation,Provides the punishment for assault or criminal force when it is committed on grave provocation.
406,Indian penal code,359,Kidnapping,"Defines ""kidnapping"" as the unlawful taking or enticing away of a person without their consent typically for illegal purposes."
407,Indian penal code,360,Kidnapping from India,Defines the offense of kidnapping a person from the territory of India and carrying them away to a foreign country.
408,Indian penal code,361,Kidnapping from lawful guardianship,Defines the offense of kidnapping a person under 16 years of age (if a male) or under 18 years of age (if a female) from the lawful guardianship of their parent or guardian.
409,Indian penal code,362,Abduction,"Defines ""abduction"" as the act of forcibly or deceitfully taking someone away either with or without their consent often with a specific intent."
410,Indian penal code,363,Punishment for kidnapping,Provides punishment for the crime of kidnapping which can include imprisonment or a fine depending on the nature of the offense.
411,Indian penal code,363A,Kidnapping or maiming a minor for purposes of begging,Provides punishment for the act of kidnapping or maiming a minor with the intent to use them for begging purposes.
412,Indian penal code,364,Kidnapping or abducting in order to murder,Provides punishment for kidnapping or abduction committed with the intent to murder the kidnapped or abducted person.
413,Indian penal code,364A,"Kidnapping for ransom, etc.",Punishment for kidnapping or abducting someone for the purpose of ransom or extortion or with the intent to cause harm.
414,Indian penal code,365,Kidnapping or abducting with intent secretly and wrongfully to confine person,Punishment for kidnapping or abducting someone with the intent to secretly and wrongfully confine the person.
415,Indian penal code,366,"Kidnapping, abducting or inducing woman to compel her marriage, etc.",Punishment for kidnapping or abducting a woman or inducing her to marry or engage in sexual activity against her will.
416,Indian penal code,366A,Procuration of minor girl,Punishment for inducing or procuring a minor girl (under 18) to engage in illegal activities often for exploitation or prostitution.
417,Indian penal code,366B,Importation of girl from foreign country,Punishment for bringing a minor girl (under 21) from outside India for the purposes of forced marriage or sexual exploitation.
418,Indian penal code,367,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc.",Punishment for kidnapping or abducting a person with the intent to subject them to grievous hurt slavery or other severe forms of exploitation.
419,Indian penal code,368,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person",Punishment for illegally concealing or keeping a kidnapped or abducted person in confinement.
420,Indian penal code,369,Kidnapping or abducting child under ten years with intent to steal from its person,Punishment for kidnapping or abducting a child under ten years old with the intent to steal from them typically for theft or exploitation.
421,Indian penal code,370,Trafficking of person,Punishment for trafficking a person meaning their recruitment transportation or transfer for the purpose of exploitation.
422,Indian penal code,370A,Exploitation of a trafficked person,Punishment for exploiting a trafficked person including forced labor sexual exploitation or any other form of abuse.
423,Indian penal code,371,Habitual dealing in slaves,Punishment for the habitual act of dealing in slaves or engaging in slavery-related activities.
424,Indian penal code,372,"Selling minor for purposes of prostitution, etc.",Punishment for selling or trafficking a minor (under 18) for the purposes of prostitution or any other illegal exploitation.
425,Indian penal code,373,"Buying minor for purposes of prostitution, etc.",Punishment for buying or procuring a minor (under 18) for the purposes of prostitution or other forms of exploitation.
426,Indian penal code,374,Unlawful compulsory labour,Punishment for forcing someone to do compulsory labor without their consent under unlawful circumstances.
427,Indian penal code,375,Rape,Defines the offense of rape including sexual intercourse without consent and under various conditions such as coercion or manipulation.
428,Indian penal code,376,Punishment for rape,Specifies the punishment for rape which can include imprisonment for a term of 7 years to life and in certain cases the death penalty.
429,Indian penal code,376A,Punishment for causing death or resulting in persistent vegetative state of victim,Provides the punishment (death or life imprisonment) for causing the victim's death or a persistent vegetative state as a result of rape.
430,Indian penal code,376AB,Punishment for rape on woman under twelve years of age,Provides stringent punishment (life imprisonment or death) for the rape of a woman under twelve years of age.
431,Indian penal code,376B,Sexual intercourse by husband upon his wife during separation,Punishes sexual intercourse by a husband with his wife when they are living separately even if consent is not given.
432,Indian penal code,376C,Sexual intercourse by a person in authority,Defines punishment for sexual intercourse by a person in authority (like a teacher guardian etc.) with a subordinate or dependent.
433,Indian penal code,376D,Gang rape,Punishes gang rape where a woman is raped by two or more persons. The punishment can be imprisonment for life or a term of 20 years.
434,Indian penal code,376DA,Punishment for gang rape on woman under sixteen years of age,Provides stricter punishment (life imprisonment or death) for gang rape of a woman under the age of sixteen.
435,Indian penal code,376DB,Punishment for gang rape on woman under twelve years of age,Prescribes the highest penalty (death or life imprisonment) for gang rape of a woman under the age of twelve.
436,Indian penal code,376E,Punishment for repeat offenders,Provides life imprisonment or the death penalty for repeat offenders of rape who have been previously convicted of similar offenses.
437,Indian penal code,377,Unnatural Offences,This section criminalizes sexual acts considered unnatural such as sodomy (anal sex) and bestiality (sexual acts involving animals). It originally penalized both consensual and non-consensual unnatural acts.
438,Indian penal code,378,Theft,Defines theft as the dishonest taking of movable property out of the possession of another without their consent with the intent to permanently deprive them of it.
439,Indian penal code,379,Punishment for theft,Provides the punishment for the offense of theft which may involve imprisonment (up to 3 years) or a fine or both.
440,Indian penal code,380,"Theft in dwelling house, etc.",Provides a higher punishment for theft committed in a dwelling house place of worship ship or aircraft. This is seen as an aggravated form of theft due to the nature of the premises.
441,Indian penal code,381,Theft by clerk or servant of property in possession of master,Specifies that a clerk or servant who commits theft of property in the possession of their master (employer) is to be punished more severely reflecting the breach of trust.
442,Indian penal code,382,"Theft after preparation made for causing death, hurt, or restraint in order to the committing of the theft",Imposes a heavier penalty for theft if the thief has made preparations to cause harm or death to the victim indicating an intent to use force during the commission of the theft.
443,Indian penal code,383,Extortion,Defines extortion as the act of intentionally putting someone in fear of harm with the intent of unlawfully taking property or money from them.
444,Indian penal code,384,Punishment for extortion,Specifies the punishment for the offense of extortion which may involve imprisonment (up to 3 years) or a fine or both.
445,Indian penal code,385,Putting person in fear of injury in order to commit extortion,Provides a higher punishment for extortion when the person is put in fear of injury or harm with the intent to extort property or money.
446,Indian penal code,386,Extortion by putting a person in fear of death or grievous hurt,Specifies that extortion committed by putting a person in fear of death or grievous hurt carries a heavier penalty reflecting the extreme nature of the threat.
447,Indian penal code,387,"Putting person in fear of death or grievous hurt, in order to commit extortion",Describes extortion where the victim is put in fear of death or grievous harm specifically for the purpose of extorting money or property.
448,Indian penal code,388,"Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc.",Defines extortion committed through the threat of false accusation of an offense punishable by death or life imprisonment or other severe penalties.
449,Indian penal code,389,"Putting person in fear of accusation of offence, in order to commit extortion",Deals with extortion by putting a person in fear of being falsely accused of a serious offense to extort money or property from them.
450,Indian penal code,390,Robbery,Defines robbery as the theft or extortion with violence or the threat of violence making it a more severe crime.
451,Indian penal code,391,Dacoity,Defines dacoity as robbery committed by five or more persons acting together with the use of force.
452,Indian penal code,392,Punishment for robbery,Specifies the punishment for robbery which may include imprisonment for a term (up to 10 years) and/or a fine.
453,Indian penal code,393,Attempt to commit robbery,Provides the punishment for attempting to commit robbery which may involve imprisonment and/or a fine.
454,Indian penal code,394,Voluntarily causing hurt in committing robbery,Specifies that if hurt is voluntarily caused while committing robbery the punishment will be more severe.
455,Indian penal code,395,Punishment for dacoity,Specifies the punishment for dacoity which includes imprisonment for up to life and a fine.
456,Indian penal code,396,Dacoity with murder,Defines the crime of dacoity with murder where murder is committed during the commission of a dacoity. The punishment is death or life imprisonment.
457,Indian penal code,397,"Robbery, or dacoity, with attempt to cause death or grievous hurt",Specifies that if robbery or dacoity is committed with the attempt to cause death or grievous hurt the punishment is more severe.
